UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
BA;Barra do Mendes;BA0021806;Ativo;**.***.705/***-**; CAFE SERRANEIRO INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Barra do Ribeiro;RS0048569;Ativo;**.***.695/***-**;JORGE BRESSAN;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Barra do Ribeiro;RS0072168;Ativo;**.***.575/***-**;HCS INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA.;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Barra do Ribeiro;RS0072168;Ativo;**.***.575/***-**;HCS INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA.;QUALIDADE VEGETAL;EMBALADOR;;
BA;Barreiras;BA0007463;Ativo;**.***.547/***-**;HORITA TRADING LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
BA;Barreiras;BA0011282;Ativo;**.***.220/***-**;COMERCIO E BENEF. DE ARROZ TIO MARIO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Barretos;SP0105449;Ativo;**.***.496/***-**;CSX INDUSTRIA E COMERCIO DE CA ;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Barrinha;SP0070319;Ativo;**.***.438/***-**;JOE LORENZATO;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Barueri;SP0035238;Ativo;**.***.931/***-**;LEMARC AGROMOND INDUSTRIA E COMERCIO INTERNACIONAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Barueri;SP0035238;Ativo;**.***.931/***-**;LEMARC AGROMOND INDUSTRIA E COMERCIO INTERNACIONAL LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Barueri;SP0012904;Ativo;**.***.202/***-**;PRD COMERCIO, DISTRIBUICAO, IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Barueri;SP0075345;Ativo;**.***.444/***-**;RXM Importação e Exportação LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Barueri;SP0077992;Ativo;***.***.321-**;Thamara Soares Brito;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Barueri;SP0100250;Ativo;**.***.675/***-**;AGRIDERIA COMERCIO, IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PB;Bayeux;PB0009105;Ativo;**.***.400/***-**;GO TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
SP;Bebedouro;SP0043575;Ativo;**.***.923/***-**;GRANOL AGRICOLA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Bebedouro;SP0043575;Ativo;**.***.923/***-**;GRANOL AGRICOLA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
CE;Beberibe;CE0018988;Ativo;**.***.764/***-**;FINOBRASA AGROINDUSTRIAL S.A;QUALIDADE VEGETAL;BENEFICIADOR;;
CE;Beberibe;CE0018988;Ativo;**.***.764/***-**;FINOBRASA AGROINDUSTRIAL S.A;QUALIDADE VEGETAL;EMBALADOR;;
MS;Bela Vista;MS0019372;Ativo;**.***.293/***-**;LAR COOPERATIVA AGROINDUSTRIAL;QUALIDADE VEGETAL;EXPORTADOR;;
PA;Belém;PA0008761;Ativo;**.***.871/***-**;BELFRUTAS COMÉRCIO HOTIFRUTIGRANJEIROS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
PA;Belém;PA0006173;Ativo;**.***.000/***-**;MUTRAN IMPORTADORA E EXPORTADORA DE ALIMENTOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
PA;Belém;PA0006912;Ativo;**.***.552/***-**;DISTRIBUIDORA BELEMENSE DE ALIMENTOS LTDA - ME;QUALIDADE VEGETAL;EMBALADOR;;
PA;Belém;PA0010987;Ativo;**.***.705/***-**;POLO COMERCIO E REPRESENTAAO LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
PE;Belém do São Francisco;PE0003395;Ativo;**.***.836/***-**;AGRODAN-AGROPECUARIA RORIZ DANTAS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Belo Horizonte;MG0041823;Ativo;**.***.663/***-**;BERTOLINO IS COFFEE LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Belo Horizonte;MG0033049;Ativo;**.***.837/***-**;ROAST CAFÉS LTDA.;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Belo Horizonte;MG0029726;Ativo;**.***.183/***-**;phyto planet com. exp. imp. ltda;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Belo Horizonte;MG0029971;Ativo;**.***.815/***-**;ATLANTICA EXPORTACAO E IMPORTACAO S/A;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Belo Horizonte;MG0029971;Ativo;**.***.815/***-**;ATLANTICA EXPORTACAO E IMPORTACAO S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Belo Horizonte;MG0020842;Ativo;**.***.216/***-**;GET IT FROM BRAZIL TRADING COMERCIO E REPRESENTAÇÕES EIRELI;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Belo Horizonte;MG0047341;Ativo;**.***.249/***-**;ATENA IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RS;Bento Gonçalves;RS0042072;Ativo;**.***.816/***-**; M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS;QUALIDADE VEGETAL;EMBALADOR;;
SC;Petrolândia;SC0033570;Ativo;**.***.451/***-**;COMERCIO DE CEREAIS PICKLER LTDA;QUALIDADE VEGETAL;EMBALADOR;;
PE;Petrolina;PE0003786;Ativo;**.***.008/***-**;DIRECT MARKET COMERCIO DE FRUTAS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0003786;Ativo;**.***.008/***-**;DIRECT MARKET COMERCIO DE FRUTAS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0008133;Ativo;**.***.764/***-**;MEIRA FRUITS EXPORTACAO E IMPORTACAO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0003190;Ativo;**.***.475/***-**;GVS Fruit Company Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0003506;Ativo;**.***.073/***-**;COOPERATIVA DE PRODUTORES EXPORTADORES DO VALE DO SAO FRANCISCO;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0004324;Ativo;**.***.613/***-**;AGROLIMA  LTDA;QUALIDADE VEGETAL;CONSOLIDADOR;;
PE;Petrolina;PE0003387;Ativo;**.***.750/***-**;EBFT EMPRESA BRASILEIRA DE FRUTAS TROPICAIS LTDA;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0004332;Ativo;**.***.329/***-**;ITAPUAN FRUTICULTURA E EXPORTACAO LTDA;QUALIDADE VEGETAL;EMBALADOR;;
PE;Petrolina;PE0010375;Ativo;**.***.530/***-**;UNIFRUTAS COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0011428;Ativo;**.***.228/***-**;UNIDASFRUIT IMPORT E EXPORT LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0011428;Ativo;**.***.228/***-**;UNIDASFRUIT IMPORT E EXPORT LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0004340;Ativo;**.***.696/***-**;DANIELA G DA CUNHA;QUALIDADE VEGETAL;EMBALADOR;;
PE;Petrolina;PE0003689;Ativo;**.***.737/***-**;ESN FRUTECER E COMERCIALIZAÇÃO DE FRUTAS EIRELI;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0004006;Ativo;**.***.928/***-**;frutos do sol agroindustria ltda;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0005096;Ativo;**.***.348/***-**;NOBLE FRUIT EXPORTACAO E COMERCIO DE FRUTAS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0002992;Ativo;**.***.531/***-**;Cooperativa Agrícola Nova Aliança - Coana;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0003603;Ativo;**.***.650/***-**;hidrotec agricola ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0003611;Ativo;**.***.637/***-**; ARGO BRASIL COMERCIAL LTDA;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0008915;Ativo;**.***.767/***-**;NOGUEIRA E VIGOLVINO IMPORTADORA E EXPORTADORA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0008958;Ativo;**.***.147/***-**;ZX AGRONEGÓCIOS LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0003433;Ativo;**.***.384/***-**;BRAVIS COMERCIAL EXPORTADORA LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0003107;Ativo;**.***.594/***-**;Argofruta Comercial Exportadora Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;BA0007560;Ativo;**.***.669/***-**;SWEET FRUITS COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;QUALIDADE VEGETAL;PRODUTOR;;
PE;Petrolina;PE0002852;Ativo;**.***.748/***-**;Agrivale - Agricultura do Vale LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0005614;Ativo;**.***.066/***-**;ITACARE IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PE;Petrolina;PE0010596;Ativo;**.***.715/***-**;National Produce Brazil Ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PE;Petrolina;PE0010251;Ativo;**.***.993/***-**;Joy Comércio e Serviços de Importação e Exportação Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
PE;Petrolina;PE0011444;Ativo;**.***.884/***-**;SAFE FRUIT COMERCIO E PRODUCAO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Pilar do Sul;SP0023256;Ativo;**.***.638/***-**;PILAR CEREAIS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Pilar do Sul;SP0038075;Ativo;**.***.918/***-**;AGROMAIA INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS AGROPECUARIOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Pilar do Sul;SP0038075;Ativo;**.***.918/***-**;AGROMAIA INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS AGROPECUARIOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Pilar do Sul;SP0037877;Ativo;**.***.146/***-**;PRODUZZA CEREAIS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Pinhais;PR0038377;Ativo;**.***.505/***-**;MOKA ASSINATURA DE CAFES ESPECIAIS LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Pinhais;PR0040819;Ativo;**.***.399/***-**;AUTOAMERICA LTDA;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
PR;Pinhalão;PR0029696;Ativo;**.***.622/***-**;T. M. DECOL - CEREAIS - EPP;QUALIDADE VEGETAL;EMBALADOR;;
PR;Pinhalão;PR0049859;Ativo;**.***.397/***-**;CAPAL COOPERATIVA AGROINDUSTRIAL;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Pinhalão;PR0039721;Ativo;**.***.137/***-**;RAFAELA MAZZOTTINI SILVA LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
RS;Pinheiro Machado;RS0068020;Ativo;**.***.175/***-**;OLIVA AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
SP;Piracicaba;SP0069930;Ativo;**.***.127/***-**;CAFE VILA SABARA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Piracicaba;SP0055620;Ativo;**.***.174/***-**;USINA GRANELLI LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Piracicaba;SP0075663;Ativo;**.***.072/***-**;mausa sa equipamentos industriais ;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Piracicaba;SP0018678;Cancelado;**.***.420/***-**;Raizen Paraguaçú Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;CLASSIFICADORA POR FLUXO OPERACIONAL
SP;Piracicaba;SP0102288;Ativo;**.***.698/***-**;BIUGON INDUSTRIA E COMERCIO DE ALIMENTOS LTDA EPP;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
MG;Piranguçu;MG0021636;Ativo;**.***.165/***-**;CEREALISTA  REI OURO EIRELI ;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Piranguinho;MG0031909;Ativo;**.***.302/***-**;CAFÉ PIRANGUINHO LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Pirapora;MG0014230;Ativo;**.***.252/***-**;novaagri infra-estrutura de armazenagem e escoamento agricola s.a.;QUALIDADE VEGETAL;ARMAZENADOR;;
MG;Pirapora;MG0019666;Ativo;**.***.402/***-**;ADM DO BRASIL LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Pirapora;MG0048615;Ativo;**.***.568/***-**;COOPERATIVA AGROSILVOPASTORIL AO ALTO MEDIO SAO FRANCISCO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Pires do Rio;GO0010022;Ativo;**.***.181/***-**;aliança agrícola do cerrado s.a;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Pires do Rio;GO0015709;Ativo;**.***.268/***-**;INDUSTRIA E COMERCIO DE CAFÉ SABORES DO BRASIL LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Pitanga;PR0015091;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Pitangueiras;PR0043265;Ativo;**.***.781/***-**;ZEAAL ALIMENTOS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Pitangueiras;MG0027480;Ativo;**.***.764/***-**;CEREALISTA DANTAS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Piumhi;MG0013838;Cancelado;**.***.225/***-**;MARCA AGRO MERCANTIL LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Piumhi;MG0040924;Ativo;**.***.730/***-**;AGRO CANASTRA INDUSTRIA E TORREFAÇÃO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Planaltina do Paraná;PR0044288;Ativo;**.***.067/***-**;ROGERIO DE MARCHI & CIA LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Planalto;SP0040878;Ativo;**.***.246/***-**;coplasa acucar e alcool ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Planura;MG0016268;Ativo;**.***.835/***-**;BRASIL AGRONEGOCIO LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Poços de Caldas;MG0021245;Ativo;**.***.538/***-**;BOURBON SPECIALTY COFFEES S.A;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Pomerode;SC0044776;Ativo;**.***.151/***-**;ORTS TORREFAÇÃO E COMERCIALIZAÇÃO DE CAFES LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Pompéia;SP0045977;Ativo;**.***.478/***-**;pompeia s.a industria e comercio;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Pompéia;SP0046990;Ativo;**.***.478/***-**;POMPEIA S.A INDUSTRIA E COMERCIO;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Pompéu;MG0016934;Ativo;**.***.360/***-**;LEITEPEU COOPERATIVA DE PRODUTORES RURAIS DE POMPEU;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Ponta Grossa;PR0035262;Ativo;**.***.097/***-**;BELAGRÍCOLA COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS AGRÍCOLAS S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Ponta Grossa;PR0017990;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;EMBALADOR;;
PR;Ponta Grossa;PR0017990;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Ponta Grossa;PR0014877;Ativo;**.***.770/***-**;FRISIA COOPERATIVA AGROINDUSTRIAL ;QUALIDADE VEGETAL;EMBALADOR;;
PR;Ponta Grossa;PR0034576;Ativo;***.***.751-**;EDGAR ALEXANDRE SCHEBESKI;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Ponta Grossa;PR0050350;Ativo;**.***.679/***-**;TAVO CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RS;Pontão;RS0035688;Ativo;**.***.257/***-**;COOPERATIVA AGROPECUÁRIA E LATICÍNIOS PONTÃO LTDA ;QUALIDADE VEGETAL;EMBALADOR;;
MT;Pontes e Lacerda;MT0003620;Ativo;**.***.023/***-**;FIAGRIL LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
RJ;Porciúncula;RJ0022780;Ativo;**.***.036/***-**; CAFÉ PEDRA ELEFANTINA LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SC;Blumenau;SC0021245;Ativo;**.***.717/***-**;ANCESTRAL SOLUCOES EM COMERCIO EXTERIOR LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
SC;Blumenau;SC0045705;Ativo;**.***.700/***-**;NATURAL IMPORTS ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Blumenau;SC0042005;Ativo;**.***.062/***-**;SELETO COMERCIAL IMPORTADORA E EXPORTADORA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Boa Esperança;ES0010715;Ativo;**.***.939/***-**;gran reino comercial ltda epp;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Boa Esperança;ES0010715;Ativo;**.***.939/***-**;gran reino comercial ltda epp;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Boa Esperança;MG0036374;Ativo;**.***.320/***-**;SONIA BEATRIZ ALVES DE AGUIAR - ME ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RR;Boa Vista;RR0000728;Ativo;**.***.041/***-**;AGROINDUSTRIAL SERRA VERDE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RJ;Bom Jardim;RJ0022551;Ativo;**.***.271/***-**;QUILOMBO INDUSTRIA E COMERCIO DE CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Bom Jesus do Araguaia;MT0006572;Ativo;**.***.101/***-**;Bunge Alimentos S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Mineiros;MT0018198;Ativo;**.***.303/***-**;NG TRADE LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MA;Miranda do Norte;MA0006521;Ativo;**.***.852/***-**;Grãos BB Mendes Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
MA;Miranda do Norte;MA0008419;Ativo;**.***.947/***-**;Cooperativa Agroindustrial Cooperja;QUALIDADE VEGETAL;BENEFICIADOR;;
MA;Miranda do Norte;MA0008419;Ativo;**.***.947/***-**;Cooperativa Agroindustrial Cooperja;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Missal;PR0014109;Ativo;**.***.416/***-**;AB COMERCIO DE INSUMOS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Mogi das Cruzes;SP0004634;Ativo;**.***.675/***-**;shibata comercial, importação e exportação ltda ;QUALIDADE VEGETAL;IMPORTADOR;;
SP;Mogi Guaçu;SP0075434;Ativo;**.***.488/***-**;PIU BOX PRODUTOS PARA ANIMAIS EXOTICOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Monsenhor Paulo;MG0022497;Ativo;**.***.644/***-**;Central Comércio de Café Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Montanha;ES0012777;Ativo;**.***.140/***-**;LATICINIOS REZENDE LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
RS;Monte Alegre dos Campos;RS0049190;Ativo;**.***.127/***-**;LCJ HORTIFRUTI LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Monte Alto;SP0050989;Ativo;**.***.355/***-**;HERMES PINHATTI FILHO E OUTRO;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Monte Alto;SP0047198;Ativo;**.***.599/***-**;RODRIGO PIGNATTI E OUTRA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Monte Belo;MG0043737;Ativo;**.***.095/***-**;CAFE COAS COMERCIO E INDUSTRIA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
GO;Portelândia;GO0009695;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Porto dos Gaúchos;MT0014206;Ativo;**.***.102/***-**;TRES TENTOS AGROINDUSTRIAL S/A;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Porto dos Gaúchos;MT0021482;Ativo;**.***.181/***-**;ALIANÇA AGRÍCOLA DO CERRADO S.A.;QUALIDADE VEGETAL;ARMAZENADOR;;
SP;Porto Feliz;SP0056413;Suspenso;**.***.851/***-**;MONÇÕES INDUSTRIA E COMÉRCIO EIRELI;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Porto Ferreira;SP0040932;Suspenso;**.***.706/***-**;CARGILL AGRICOLA S A;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MA;Porto Franco;MA0005347;Ativo;**.***.706/***-**;Cargill Agricola S A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
TO;Porto Nacional;TO0003476;Ativo;**.***.706/***-**;CARGILL AGRICOLA S A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
TO;Porto Nacional;TO0011762;Ativo;**.***.706/***-**;CARGILL AGRICOLA S A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
BA;Porto Seguro;BA0019917;Ativo;**.***.944/***-**;JF FILHO HORTIFRUTI LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
BA;Porto Seguro;BA0020362;Ativo;**.***.528/***-**;OLAM AGRÍCOLA LTDA.;QUALIDADE VEGETAL;BENEFICIADOR;;
RO;Porto Velho;RO0008060;Ativo;**.***.942/***-**;BRAZANO COMERCIO DE CAFE E-COMMERCE LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
RO;Porto Velho;RO0001015;Ativo;**.***.355/***-**;Agatha Trading Ltda;QUALIDADE VEGETAL;IMPORTADOR;;
RO;Porto Velho;RO0006785;Ativo;**.***.591/***-**;GIANNONE TRANSPORTES, IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RO;Porto Velho;RO0000868;Ativo;**.***.284/***-**;trust trade importação e exportação ltda;QUALIDADE VEGETAL;IMPORTADOR;;
RO;Porto Velho;RO0001481;Ativo;**.***.185/***-**;GANESH LOGISTICA E DISTRIBUIÇÃO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RO;Porto Velho;RO0008370;Ativo;**.***.614/***-**;CUNIA INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RO;Porto Velho;RO0007315;Ativo;**.***.306/***-**;QUATTROR COMERCIAL LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RO;Porto Velho;RO0005380;Ativo;**.***.399/***-**;IND E COM DE CAFÉ SACY LTDA ;QUALIDADE VEGETAL;BENEFICIADOR;;
RO;Porto Velho;RJ0018406;Ativo;**.***.431/***-**;INOVA DO BRASIL COMERCIO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
RO;Porto Velho;RO0007340;Ativo;**.***.399/***-**;ORIGENS DA AMAZONIA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Pouso Alegre;MG0031402;Ativo;**.***.798/***-**;CAFÉ SHANGRI-LA LTDA ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Pouso Alegre;MG0031569;Cancelado;**.***.831/***-**;CAFÉ FREITAS LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Pouso Alegre;MG0005053;Ativo;**.***.930/***-**;CLAMINAS - CLASSIFICAÇÃO E ANÁLISE VEGETAL LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
MG;Pouso Alto;MG0036420;Ativo;**.***.976/***-**;LATICÍNIO NATA REAL LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SC;Pouso Redondo;SC0011274;Ativo;**.***.782/***-**;CRAVIL  Coop. Regional Agropecuária Vale do Itajaí;QUALIDADE VEGETAL;EMBALADOR;;
MT;Poxoréu;MT0014893;Ativo;***.***.661-**;WILSON DALTROZO;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Pratápolis;MG0041670;Ativo;**.***.228/***-**;OURO SAFRA S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Presidente Bernardes;SP0036323;Ativo;**.***.231/***-**;CEREALISTA BACANEZI LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MA;Presidente Dutra;MA0009911;Ativo;**.***.900/***-**;Rural Brasil Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Presidente Olegário;MG0050857;Ativo;**.***.652/***-**;ELMIRO ALVES DO NASCIMENTO;QUALIDADE VEGETAL;EMBALADOR;;
SP;Presidente Prudente;SP0018511;Ativo;**.***.562/***-**;Usina Alto Alegre S.A Açúcar e Álcool;QUALIDADE VEGETAL;EMBALADOR;;
PR;Prudentópolis;PR0010847;Ativo;**.***.722/***-**;PACHECO & KLOSOWSKI LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
PR;Prudentópolis;PR0036757;Ativo;**.***.125/***-**;INDUSTRIA E COMERCIO DE CEREAIS BALDISSERA LTDA (FILIAL);QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Quatiguá;PR0029831;Ativo;**.***.812/***-**;COM. E TRANSPORTE DE CEREAIS PIRATELO LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SP;Queiroz;SP0093165;Ativo;**.***.450/***-**;CLEALCO AÇUCAR E ALCOOL S/A;QUALIDADE VEGETAL;PROCESSADOR;;
MT;Querência;MT0003743;Ativo;**.***.254/***-**;AMAGGI EXPORTACAO E IMPORTACAO LTDA;QUALIDADE VEGETAL;PRODUTOR;;
