UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
PR;Jardim Alegre;PR0017965;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Jataí;GO0022160;Ativo;**.***.243/***-**;CAFE SAO THOMAZ LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
GO;Jataí;GO0022160;Ativo;**.***.243/***-**;CAFE SAO THOMAZ LTDA;QUALIDADE VEGETAL;EMBALADOR;;
GO;Jataí;GO0008753;Ativo;**.***.210/***-**;Viterra Agriculture Brasil S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Jataí;GO0007714;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;EMBALADOR;;
GO;Jataí;GO0009784;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Jataí;GO0009750;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Jataí;GO0008770;Ativo;**.***.835/***-**;ALPHAGRAIN TRADING DE GRAOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Jataí;GO0008770;Ativo;**.***.835/***-**;ALPHAGRAIN TRADING DE GRAOS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Jataí;GO0002526;Ativo;**.***.900/***-**;Rural Brasil Ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Jataí;GO0013749;Ativo;**.***.618/***-**;COMIGOCOOP AGROINDL PROD RUR SUDOESTE GOIANO;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Jataí;GO0024074;Ativo;**.***.402/***-**;ADM DO BRASIL;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Jaú;SP0046973;Ativo;**.***.467/***-**;SUPERMERCADOS JAU SERVE LTDA ;QUALIDADE VEGETAL;IMPORTADOR;;
SP;Jaú;SP0040983;Ativo;**.***.931/***-**;CEREALISTA DENADAI LTDA - ME;QUALIDADE VEGETAL;EMBALADOR;;
BA;Jequié;BA0015601;Ativo;**.***.522/***-**;MOINHO PAQUETA IND E COM LIMITADA ;QUALIDADE VEGETAL;EMBALADOR;;
BA;Jequié;BA0015601;Ativo;**.***.522/***-**;MOINHO PAQUETA IND E COM LIMITADA ;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;CLASSIFICADORA POR FLUXO OPERACIONAL
BA;Jequié;BA0018945;Ativo;**.***.727/***-**;IPAM INDUSTRIA DE PRODUTOS ALIMENTICIOS MOENDA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Jesuítas;PR0049840;Ativo;**.***.866/***-**;CAFÉ NA LATA;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Jesuítas;PR0049840;Ativo;**.***.866/***-**;CAFÉ NA LATA;QUALIDADE VEGETAL;EMBALADOR;;
RO;Ji-Paraná;RO0003204;Ativo;**.***.351/***-**;INOVAM BRASIL IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;PRODUTOR;;
RO;Ji-Paraná;RO0005479;Ativo;**.***.215/***-**;CICAL IND. E COM. DE PRODUTOS ALIMENTICIOS LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
